[2023-10-20 18:55:54.613] [lucc logger] [debug] After lexer:

[2023-10-20 18:55:54.614] [lucc logger] [debug] Type: PP_define	Value: define

[2023-10-20 18:55:54.614] [lucc logger] [debug] Type: identifier	Value: NULL

[2023-10-20 18:55:54.615] [lucc logger] [debug] Type: left_round	Value: 

[2023-10-20 18:55:54.615] [lucc logger] [debug] Type: KW_void	Value: void

[2023-10-20 18:55:54.615] [lucc logger] [debug] Type: star	Value: 

[2023-10-20 18:55:54.615] [lucc logger] [debug] Type: right_round	Value: 

[2023-10-20 18:55:54.615] [lucc logger] [debug] Type: number	Value: 0

[2023-10-20 18:55:54.616] [lucc logger] [debug] Type: newline	Value: 

[2023-10-20 18:55:54.616] [lucc logger] [debug] Type: newline	Value: 

[2023-10-20 18:55:54.617] [lucc logger] [debug] Type: newline	Value: 

[2023-10-20 18:55:54.617] [lucc logger] [debug] Type: KW_int	Value: int

[2023-10-20 18:55:54.618] [lucc logger] [debug] Type: identifier	Value: t

[2023-10-20 18:55:54.619] [lucc logger] [debug] Type: equal	Value: 

[2023-10-20 18:55:54.619] [lucc logger] [debug] Type: number	Value: 5

[2023-10-20 18:55:54.620] [lucc logger] [debug] Type: semicolon	Value: 

[2023-10-20 18:55:54.620] [lucc logger] [debug] Type: KW_int	Value: int

[2023-10-20 18:55:54.621] [lucc logger] [debug] Type: identifier	Value: main

[2023-10-20 18:55:54.621] [lucc logger] [debug] Type: left_round	Value: 

[2023-10-20 18:55:54.621] [lucc logger] [debug] Type: KW_void	Value: void

[2023-10-20 18:55:54.621] [lucc logger] [debug] Type: right_round	Value: 

[2023-10-20 18:55:54.622] [lucc logger] [debug] Type: left_brace	Value: 

[2023-10-20 18:55:54.622] [lucc logger] [debug] Type: KW_int	Value: int

[2023-10-20 18:55:54.622] [lucc logger] [debug] Type: identifier	Value: t

[2023-10-20 18:55:54.622] [lucc logger] [debug] Type: equal	Value: 

[2023-10-20 18:55:54.623] [lucc logger] [debug] Type: number	Value: 12

[2023-10-20 18:55:54.623] [lucc logger] [debug] Type: semicolon	Value: 

[2023-10-20 18:55:54.623] [lucc logger] [debug] Type: KW_return	Value: return

[2023-10-20 18:55:54.623] [lucc logger] [debug] Type: identifier	Value: t

[2023-10-20 18:55:54.624] [lucc logger] [debug] Type: semicolon	Value: 

[2023-10-20 18:55:54.624] [lucc logger] [debug] Type: right_brace	Value: 

[2023-10-20 18:55:54.624] [lucc logger] [debug] Type: eof	Value: 

[2023-10-20 18:55:54.625] [lucc logger] [debug] 


[2023-10-20 18:55:54.625] [lucc logger] [debug] 

After preprocessor:

[2023-10-20 18:55:54.625] [lucc logger] [debug] Type: KW_int	Value: int

[2023-10-20 18:55:54.626] [lucc logger] [debug] Type: identifier	Value: t

[2023-10-20 18:55:54.626] [lucc logger] [debug] Type: equal	Value: 

[2023-10-20 18:55:54.626] [lucc logger] [debug] Type: number	Value: 5

[2023-10-20 18:55:54.627] [lucc logger] [debug] Type: semicolon	Value: 

[2023-10-20 18:55:54.627] [lucc logger] [debug] Type: KW_int	Value: int

[2023-10-20 18:55:54.627] [lucc logger] [debug] Type: identifier	Value: main

[2023-10-20 18:55:54.627] [lucc logger] [debug] Type: left_round	Value: 

[2023-10-20 18:55:54.628] [lucc logger] [debug] Type: KW_void	Value: void

[2023-10-20 18:55:54.628] [lucc logger] [debug] Type: right_round	Value: 

[2023-10-20 18:55:54.628] [lucc logger] [debug] Type: left_brace	Value: 

[2023-10-20 18:55:54.628] [lucc logger] [debug] Type: KW_int	Value: int

[2023-10-20 18:55:54.629] [lucc logger] [debug] Type: identifier	Value: t

[2023-10-20 18:55:54.629] [lucc logger] [debug] Type: equal	Value: 

[2023-10-20 18:55:54.629] [lucc logger] [debug] Type: number	Value: 12

[2023-10-20 18:55:54.629] [lucc logger] [debug] Type: semicolon	Value: 

[2023-10-20 18:55:54.630] [lucc logger] [debug] Type: KW_return	Value: return

[2023-10-20 18:55:54.630] [lucc logger] [debug] Type: identifier	Value: t

[2023-10-20 18:55:54.630] [lucc logger] [debug] Type: semicolon	Value: 

[2023-10-20 18:55:54.631] [lucc logger] [debug] Type: right_brace	Value: 

[2023-10-20 18:55:54.631] [lucc logger] [debug] Type: eof	Value: 

[2023-10-20 18:55:54.631] [lucc logger] [debug] 


